epoch,loss,val_loss
0,0.04791630910336971,0.04043080520071089
1,0.04050344330072403,0.0407088530678302
2,0.03938247095048428,0.0389245443046093
3,0.0385604795999825,0.03825874900445342
4,0.038437677573412654,0.03896315209940076
5,0.037939863801002505,0.03821385552361607
6,0.03771658628061414,0.03746225620992482
7,0.03745604477077723,0.037712200546637174
8,0.03746334231458604,0.037411482149735095
9,0.037035187434405085,0.037086940485984085
10,0.03699139071814716,0.03692595870047808
11,0.036942498058080676,0.03700867583416402
12,0.036767961777746674,0.03693132814764977
13,0.03659993894770742,0.03694005301594734
14,0.03664553070627153,0.03665876500122249
15,0.03661688238568604,0.03683887760154903
16,0.03645092473737895,0.03662413686513901
17,0.036602324411273,0.03648941672593355
18,0.03637500352784991,0.036456222353503105
19,0.036328016897663476,0.036394468799233436
20,0.036365219729021195,0.03638951479271054
21,0.03638162779808044,0.036488358162343505
22,0.03621352393180132,0.036467946864664556
23,0.03617928254976869,0.0363253724090755
24,0.036130063131451604,0.0365904818251729
25,0.03615602909959853,0.036462581252679226
26,0.03603534475713968,0.03612904330343008
27,0.03609157587401569,0.03635878368094563
28,0.03607858540676534,0.036223421650007366
29,0.03591036000102758,0.036013840286061166
30,0.036027168802917,0.03629045323096216
31,0.03596122633293271,0.036364734522998335
32,0.03585740132257342,0.03616935902647674
33,0.0358474159874022,0.03662670618109405
34,0.036087922692298886,0.036626908095553516
35,0.03584970165044069,0.03611329498142004
36,0.035913514509797094,0.03654549111239612
37,0.03586468500830233,0.03630786656960845
38,0.03594808174856007,0.03623216794990003
39,0.035945721315219996,0.03596575345285237
40,0.03591718986816704,0.03604923688806593
41,0.03576765456981957,0.036057806326076386
42,0.03585356548056006,0.03597448428347707
43,0.0359550618622452,0.036135673163458705
44,0.035819348651915786,0.03592010840401053
45,0.035972332665696743,0.035809104137122634
46,0.03579690811038017,0.036685886424034836
47,0.03571098066493869,0.03596826195158064
48,0.03576092379726469,0.0360010839831084
49,0.03580390893854201,0.03650468891113996
50,0.03583363897167146,0.03591839361190796
51,0.03593804974108934,0.03588659342192113
52,0.03570925899967551,0.03610292993858456
53,0.035722975393757225,0.03596146168000996
54,0.03569872925244272,0.035949373995885256
55,0.03570354358479381,0.03609654277935624
