epoch,concatenate_1_loss,decode_conv5_loss,loss,val_concatenate_1_loss,val_decode_conv5_loss,val_loss
0,557.8322832865362,20373.268798828125,20931.101099609376,1005.5983793945312,14384.64049609375,15390.23887890625
1,620.1292125854492,11410.128168945312,12030.257369140625,813.7587869873047,10580.62693359375,11394.385711914063
2,669.184228515625,9636.2163828125,10305.400619140624,518.5661127319336,9982.7584609375,10501.324586914063
3,715.3931708374023,8373.87686328125,9089.270020507813,738.329693359375,7144.454837890625,7882.784533203125
4,755.3013842773438,7432.788362304687,8188.08975,741.2663546142578,7374.59335546875,8115.859689453125
5,771.9494044189453,6842.769845703125,7614.719251953125,702.9666387939453,6687.858758789062,7390.825390625
6,783.1296044921875,6394.622639648437,7177.7522421875,694.1761665039063,6928.7223291015625,7622.898508789062
7,790.5622586669922,6041.624118164063,6832.186374023438,702.6060183105469,5755.107961914063,6457.713991210938
8,803.1909765625,5796.0860859375,6599.277057617188,837.6944895019532,5841.620508789062,6679.314995117187
9,809.8973038330079,5580.310474609375,6390.207784179687,755.2708269042969,6595.2565078125,7350.527341796875
10,816.7469655761719,5407.75663671875,6224.503599609375,812.0989606933593,5214.001664550781,6026.100618164062
11,819.2413374023438,5179.325271972656,5998.566616210937,739.1742833251953,5540.969986816406,6280.14427734375
12,821.7898701171875,5037.355271972656,5859.145137695313,780.1229151611328,5040.736824707032,5820.85975390625
13,822.7744696044922,4918.8236083984375,5741.598077148437,719.8792127685547,5253.66630078125,5973.545511230469
14,825.2463731689453,4794.327071289063,5619.57344140625,900.0809379882812,4604.258786132813,5504.339715820312
15,826.5465198974609,4697.551097167969,5524.097620117188,765.3889172363281,5357.671126953125,6123.060049804688
16,824.0047532958985,4613.087078613281,5437.091834960937,833.4050157470704,4413.779426757813,5247.184436523437
17,822.5023024902343,4508.2926416015625,5330.794946289063,816.907775390625,4510.675504394531,5327.583277832031
18,820.320478515625,4397.6773334960935,5217.997810546875,817.221703491211,4290.976609863281,5108.198311523438
19,816.8715690917969,4342.2285625,5159.100137207031,761.4640396728515,4505.04394921875,5266.507984375
20,812.5253919677734,4227.990720214843,5040.516111328125,769.9304281005859,4402.777157714844,5172.707588867188
21,813.564193359375,4181.028981933594,4994.593163574219,840.1867580566407,4208.024969726563,5048.211728027344
22,807.2727131347656,4113.702319824219,4920.97502734375,777.6542596435547,4209.708082519532,4987.36234375
23,807.9161096191406,4077.9526123046876,4885.868729003906,820.7688037109375,4180.238341796875,5001.007135253906
24,801.3025362548829,4006.3537099609375,4807.656245117188,753.3960229492187,4142.235451171875,4895.631474609375
25,795.6232041015625,3936.171783203125,4731.79498046875,821.4114600830078,4132.162596679687,4953.574051757812
26,794.1160061035156,3870.095898925781,4664.211901855469,768.4332957763672,3862.795732421875,4631.229033203125
27,790.918322631836,3844.011979980469,4634.930305664063,862.5289064941406,3950.2391635742188,4812.768061523438
28,787.1957261962891,3785.758138671875,4572.953873046875,778.0853756103515,3718.9047490234375,4496.990124511719
29,783.6154201660156,3754.4999594726564,4538.115375976562,832.6287830810547,3794.61771484375,4627.2465004882815
30,780.4610911865234,3691.836150878906,4472.297239257812,772.8301138916015,3923.676935546875,4696.5070390625
31,778.3028309326172,3645.4658544921876,4423.7686796875,778.7097591552734,3674.848130859375,4453.557890625
32,775.5262060546875,3613.006754394531,4388.532959960938,843.3610372314453,3677.9566435546876,4521.317686523437
33,771.9410330810547,3579.37811328125,4351.319144042969,760.6232264404297,3539.0692963867186,4299.6925234375
34,768.9566520996094,3555.0764350585937,4324.03309375,792.692263305664,3509.034968261719,4301.727231445312
35,766.31869921875,3521.8280981445314,4288.146797851563,822.2375311279297,3501.1751606445314,4323.412696777344
36,761.4837651367187,3462.6806904296873,4224.164466796875,843.0455362548828,3638.7713193359373,4481.816853027343
