epoch,loss,val_loss
0,4949.21463256836,3795.482649658203
1,3339.3614060058594,3148.7572827148438
2,2993.2660717773438,2869.097545654297
3,2769.872750732422,2695.0329912109373
4,2594.0023076171874,2488.697416137695
5,2461.6771674804686,2388.662969360352
6,2344.7387420654295,2273.701577758789
7,2275.4492199707033,2298.9386552734377
8,2231.40860534668,2168.931637207031
9,2167.469306640625,2126.6832493896486
10,2128.881264160156,2094.6117020263673
11,2086.8176256103516,2078.361485595703
12,2062.1883588867186,2076.1619384765627
13,2033.6160974121094,2009.1961676025392
14,1993.9356748046876,1982.7897276611327
15,1975.2049249267577,1988.7853367919922
16,1940.9830955810546,2020.1519372558594
17,1919.9452630615235,1932.6648255615235
18,1902.9191721191405,1894.2315152587892
19,1871.0522376708984,1929.3389256591797
20,1845.9769776611329,1858.3890728759766
21,1823.7457821044923,1818.7246455078125
22,1801.7987026367186,1802.6917822265625
23,1783.8890928955077,1775.8809486083985
24,1764.2178464355468,1762.1044434814453
25,1743.5358846435547,1756.2086352539063
26,1721.911741088867,1706.1926501464843
27,1709.0107451171875,1720.7393673095703
28,1682.3745792236327,1760.4313780517577
29,1666.9625681152343,1681.8366881103516
30,1652.2543044433594,1707.583769165039
31,1641.6952897949218,1665.9540770263673
32,1622.5065367431641,1606.2502750244141
33,1605.562759033203,1612.0321955566405
34,1593.9440164794921,1591.967049560547
35,1576.3378299560547,1590.3122052001954
36,1567.3943031005858,1569.333932495117
37,1548.9042706298828,1561.925427001953
38,1545.8109750976562,1551.6025965576173
39,1535.3566505126953,1530.443071044922
40,1520.7797133789063,1530.470053100586
41,1503.9084294433594,1547.4779169921876
42,1499.7497348632812,1498.0736719970703
43,1487.4982513427735,1513.3556804199218
44,1476.316251953125,1472.2342443847656
45,1471.075955810547,1460.7790984497071
46,1457.0943609619142,1471.3782610473634
47,1450.5363330078126,1463.1893361816406
48,1436.9914154052735,1452.90832421875
49,1434.269235229492,1446.403162841797
50,1425.6859171142578,1460.0071686401368
51,1411.6680993652344,1446.9315528564453
52,1406.2986174316407,1423.4124465332031
53,1404.9183654785156,1413.0009600219726
